alumno,media_1E,media_2E,media_3E,media_4E,media_1B,media_2B
668,,,,,5.0,5.12
669,,,,,,6.88
670,,,,,6.22,6.5
671,,,,,6.0,3.89
672,,,,,5.0,5.38
673,,,,,5.0,5.5
674,,,,,5.89,6.38
675,,,,,,6.25
676,,,,,5.0,5.38
677,,,,,5.56,3.12
678,,,,,,7.5
679,,,,,5.56,6.0
680,,,,,5.0,5.12
681,,,,,6.62,5.62
682,,,,,6.0,6.0
683,,,,,5.0,5.5
684,,,,,6.78,6.62
685,,,,,,5.75
686,,,,,,5.5
687,,,,,0.0,0.0
688,,,,,,7.0
689,,,,,5.0,5.5
690,,,,,5.33,5.25
691,,,,,,6.88
692,,,,,5.78,6.62
693,,,,,,5.75
694,,,,,,8.0
695,,,,,9.56,9.88
696,,,,,7.78,7.25
697,,,,,8.0,7.12
698,,,,,9.44,9.88
699,,,,,8.67,9.0
700,,,,,6.3,5.88
701,,,,,7.67,7.5
702,,,,,9.0,8.62
703,,,,,9.22,9.38
704,,,,,8.44,8.62
705,,,,,7.44,8.0
706,,,,,9.22,8.62
707,,,,,,8.0
708,,,,,,6.75
709,,,,,,9.75
710,,,,,,8.62
711,,,,,,6.0
712,,,,,,8.5
713,,,,,,8.25
714,,,,,,8.5
715,,,,,,10.0
832,7.1,7.6,6.64,6.56,,
833,7.4,6.8,7.09,7.56,6.22,6.5
834,2.9,1.92,,,,
835,3.64,3.6,,,,
836,2.45,2.09,,,,
837,6.6,4.7,2.58,3.0,,
838,5.4,2.2,3.0,,,
839,4.82,3.91,,,,
840,1.64,2.3,,,,
841,1.8,1.07,,,,
842,1.9,1.08,,,,
843,0.91,1.3,,,,
844,5.0,3.2,1.91,,,
845,5.9,4.18,2.73,,,
846,1.0,,,,,
847,7.8,6.5,6.91,7.44,7.11,8.12
848,5.7,5.4,4.92,4.22,,
849,6.3,4.3,3.82,,,
850,6.1,4.4,5.64,5.67,,
851,5.17,5.3,5.09,,,
852,6.1,3.8,4.82,,,
853,1.0,1.2,,,,
854,,,,5.44,6.3,5.88
855,2.3,1.85,,,,
856,4.7,5.4,2.18,1.0,,
857,1.18,2.9,,,,
858,9.2,8.1,6.64,5.44,5.9,6.62
859,3.8,,,,,
860,8.1,6.9,6.73,6.56,,
861,8.8,8.3,7.55,8.44,8.44,9.12
862,6.2,3.36,3.09,,,
863,6.5,6.7,5.09,4.11,,
864,5.0,3.58,3.55,4.11,,
865,5.3,4.9,5.36,6.11,,
866,6.0,5.1,5.23,4.78,,
867,6.9,5.9,5.91,4.67,4.44,4.75
868,5.5,4.18,2.18,,,
869,6.7,3.9,,,,
870,5.6,,,,,
871,,4.0,5.62,5.54,,
872,2.1,1.33,,,,
873,,,6.18,6.11,,
874,0.0,,,,,
875,5.8,5.6,5.55,4.78,4.0,4.38
876,3.27,4.91,5.25,5.78,,
877,8.0,7.7,8.36,7.33,8.44,9.0
878,1.0,0.0,,,,
879,,6.2,5.64,4.11,5.16,4.7
880,3.0,3.27,,,,
881,,,7.55,7.0,,
882,,,5.82,,,
883,,,5.45,5.89,,
884,,1.0,4.36,4.0,,
885,,,4.88,5.67,3.22,
886,,,4.0,5.78,,
887,,,6.0,7.56,6.67,7.5
888,,,,2.0,,
889,8.4,,,,,
890,8.8,8.5,7.27,9.44,9.22,9.0
891,6.7,6.8,6.82,6.11,5.78,6.0
892,8.5,7.9,7.73,7.56,7.78,7.25
893,6.8,6.1,5.36,5.33,5.56,6.0
894,6.2,5.2,4.73,5.56,4.67,4.38
895,8.0,6.4,6.45,7.67,7.22,7.25
896,7.3,,,,,
897,9.0,5.5,6.36,6.78,6.22,6.12
898,7.4,6.8,7.09,6.11,6.67,8.25
899,9.0,8.1,7.91,8.44,7.89,8.0
