"docente","materia","nota_media"
39,"MAT2B",6.04
39,"MAT2E",4.59
40,"ATE1BA",9.3
40,"ATE2EA",7.87
40,"GENERAL",6.11
40,"LCL1BA",4.98
40,"LCL1E",6.05
40,"LCL1EA",6.91
40,"LCL2E",6.96
40,"LCL2EA",5.43
40,"LCL3E",5.42
40,"LCL3EA",6.83
40,"LCL4E",5.95
40,"LCL4EA",4.09
40,"LIU1B",8.4
41,"GENERAL",4.18
41,"PIB2E",5.86
41,"PIN1B",3.35
41,"PIN3E",2.85
42,"ECO1BA",3.67
42,"ECO4E",7.07
42,"GENERAL",6.75
43,"AED3EA",7.16
43,"AED4E",7.13
43,"ATE4EA",6.29
43,"EF3SE",0
43,"EF4SE",0
43,"EFI1B",6.5
43,"EFI1BA",5.7
43,"EFI1E",2.24
43,"EFI1EA",2.39
43,"EFI2E",1.74
43,"EFI2EA",3.09
43,"EFI3E",5.22
43,"EFI3EA",4.99
43,"EFI4E",6.24
43,"EFI4EA",6.41
43,"GENERAL",5.99
44,"GENERAL",6.12
44,"GRI1B",5.99
44,"GRI1BA",7.67
44,"GRI2B",6.43
44,"HMI1BA",6.98
44,"LAT1B",5.63
44,"LAT1BA",6.42
44,"LAT2B",5.19
44,"LAT2BA",5.68
44,"LAT4E",6.58
44,"LAT4EA",6.02
44,"RCC1E",4.67
44,"YMC4EA",7.33
45,"GENERAL",5.56
45,"LCL1E",6.13
45,"LCL2E",5.61
45,"LCL4E",4.46
46,"GENERAL",5.06
46,"PIN2B",5.04
46,"PIN2E",3.97
46,"PIN4E",5.66
47,"GENERAL",6.26
47,"IIN1E",0.75
47,"ISO2B",7.31
47,"ROB2E",0.75
47,"TEC1E",6.02
47,"TEC3E",5.31
47,"TEC4E",7.77
47,"TIC1B",7.23
47,"TIC4E",6.84
48,"GENERAL",5.74
48,"IAE4E",5.74
49,"GENERAL",7.24
49,"SFR1B",7.08
49,"SFR2B",8.63
49,"SFR4E",7.07
50,"FIQ1B",4.94
50,"FIQ2E",3.22
50,"FIQ3E",4.96
50,"FIQ4E",5.31
50,"FIS2B",4.13
50,"GENERAL",4.75
51,"ECO4E",5.8
51,"EEM2B",6.19
51,"GENERAL",5.96
52,"GENERAL",4.73
52,"LAT4E",4.22
52,"LCL1B",4.76
52,"LCL1E",4.96
52,"LCL2B",5.05
52,"LCL2E",5.81
52,"LIU1B",4.54
52,"RCC2E",2.24
53,"ATE1BA",8.06
53,"GENERAL",5.98
53,"LEI1BA",6.47
53,"LEI4EA",7.13
53,"PIB1E",6.49
53,"PIB2E",7.06
53,"PIB3E",7
53,"PIB4E",6.6
53,"PIN1B",4.69
53,"PIN2B",4.11
53,"PIN3E",3.05
53,"PIN4E",4.63
54,"ALS2PM",4.28
54,"ALS3PM",5
54,"GENERAL",5.55
54,"GHI1E",4.18
54,"GHI1EA",6.62
54,"GHI3E",6.21
54,"GHI3EA",5.14
54,"GHI4E",5.12
54,"GHI4EA",5.23
54,"HMC1B",5.32
54,"HMC1BA",5.15
55,"AC4SE",0
55,"AS4SE",0
55,"EA4SE",0
55,"GENERAL",0
55,"VS4SE",0
56,"CAV3E",6.96
56,"CAV3EA",5.83
56,"CUA1B",6.93
56,"CUA2B",6.48
56,"DIT1B",6.7
56,"DIT1BA",6.78
56,"DIT2B",7.03
56,"DIT2BA",8.55
56,"EPV1E",6.46
56,"EPV2E",5.51
56,"EPV2EA",5.77
56,"EPV4E",7.21
56,"GENERAL",6.61
56,"YCP4EA",7.47
57,"GENERAL",6.46
57,"MAT1E",6.32
57,"MAT2E",6.76
58,"FIQ2E",6.25
58,"GENERAL",6.48
58,"ISO2B",8.7
58,"TIC1B",5.86
59,"ATE1BA",4.33
59,"ATE2BA",9.08
59,"GENERAL",6.85
59,"LEI1BA",6.28
59,"LEI1EA",3.84
59,"LEI2BA",7.4
59,"LEI2EA",5.9
59,"LEI3EA",4.67
59,"PIB1B",7.92
59,"PIB1E",7.41
59,"PIB2B",8.01
59,"PIB2E",7.48
59,"PIB3E",7.12
59,"PIB4E",7.07
60,"GENERAL",6.95
