alumno,media_1E,media_2E,media_3E,media_4E,media_1B,media_2B
266,9.13,9.26,9.21,8.85,9.17,9.83
267,6.4,6.55,6.55,4.68,5.52,7.04
268,5.11,4.42,3.71,5.8,5.88,6.43
269,5.63,5.9,,,,
270,6.63,6.74,6.27,7.15,7.26,8.33
271,8.03,6.55,6.79,6.78,6.63,7.19
272,7.63,7.71,7.61,6.52,6.89,7.62
273,5.83,6.14,4.88,3.81,,
274,8.47,8.43,8.06,9.22,8.85,9.54
275,5.61,5.65,5.32,5.07,,
276,6.67,7.26,6.15,6.22,6.11,7.21
277,7.0,6.74,6.79,5.89,6.33,8.21
278,8.8,8.23,8.24,8.52,7.81,8.21
279,7.63,7.23,7.33,7.48,7.44,6.62
280,7.0,7.68,7.15,6.56,7.5,8.07
281,6.0,5.7,5.34,5.0,4.66,3.84
282,6.33,4.39,2.1,2.81,,
283,7.07,5.4,5.12,6.67,6.93,6.58
284,7.13,,,,,
285,8.43,8.06,8.03,7.07,7.9,7.67
286,6.73,6.37,6.27,7.15,6.93,6.29
287,4.59,5.8,5.05,,,
288,8.93,7.6,6.7,6.85,7.3,7.75
289,5.9,4.83,4.26,4.6,2.79,
290,6.4,6.45,6.21,6.16,7.19,7.17
291,5.83,4.94,2.55,,,
292,6.6,6.3,5.25,5.82,6.04,7.38
293,8.9,7.43,7.13,7.63,6.96,8.0
294,6.8,7.0,6.91,5.81,6.1,6.37
295,7.27,7.37,6.88,7.74,7.74,8.33
296,8.07,7.65,6.76,,,
297,7.6,7.68,6.7,5.5,5.47,7.83
298,8.97,8.47,8.39,7.0,,
299,9.7,9.7,9.42,8.93,8.33,
300,8.4,7.8,6.7,7.22,7.07,7.59
301,8.47,7.33,6.26,5.04,5.53,5.96
302,6.8,5.47,5.59,5.71,5.58,5.88
303,6.33,6.55,,,,
304,7.4,7.43,6.64,7.15,7.93,7.92
305,5.8,6.16,5.26,3.9,3.76,1.92
306,6.47,5.6,4.92,5.41,5.68,6.25
307,5.06,5.25,5.76,4.48,2.19,
308,7.07,7.23,7.09,6.93,6.09,6.16
309,7.0,6.83,6.57,6.14,,
310,8.47,7.87,7.27,6.96,6.7,6.0
311,1.87,2.07,,,,
312,7.1,6.9,7.0,7.37,6.41,7.17
313,2.4,1.9,,,,
314,4.85,4.8,3.11,,,
315,8.53,7.7,7.36,7.04,6.4,6.81
316,2.29,2.46,,,,
317,1.6,1.19,,,,
318,6.87,7.32,7.24,6.7,6.93,7.19
319,4.85,4.39,2.18,,,
320,4.56,4.71,2.5,1.56,4.75,
321,7.83,7.1,7.0,6.3,,
322,4.4,3.73,4.5,,,
323,1.5,0.88,,,,
324,2.67,4.38,5.29,6.15,,
325,1.37,1.05,,,,
326,3.43,3.76,,,,
327,1.44,1.1,,,,
328,4.26,2.39,2.44,,,
329,4.16,2.89,2.3,,,
330,3.22,3.5,,,,
331,7.43,6.94,7.12,7.04,7.55,8.37
332,4.78,4.06,4.16,4.26,,
333,5.74,3.67,4.74,5.67,,
334,1.8,2.28,,,,
335,8.63,7.97,7.15,5.29,5.77,6.96
336,8.37,8.29,7.82,8.48,8.52,9.29
337,6.1,3.4,2.46,,,
338,2.99,3.44,3.74,5.15,,
339,4.61,4.51,4.19,6.15,,
340,4.86,5.43,4.11,4.59,,
341,6.63,5.88,5.61,4.27,4.38,5.11
342,3.77,4.14,2.15,,,
343,6.43,3.33,,,,
344,1.64,1.08,,,,
345,5.7,5.44,6.0,4.3,3.86,4.67
346,7.37,7.48,8.45,7.59,8.81,9.25
347,6.1,6.65,5.03,3.97,,
348,5.55,5.8,5.24,3.81,,
349,4.06,,,,,
350,0.75,,,,,
351,5.12,,,,,
352,5.94,3.88,3.77,,,
353,2.21,1.92,,,,
354,0.9,,,,,
355,5.57,6.4,5.83,6.15,5.97,6.37
356,8.2,7.63,7.83,7.15,7.71,7.67
357,8.47,8.48,8.45,8.26,6.96,8.58
358,7.07,7.43,6.67,6.85,6.89,8.23
359,6.1,6.0,5.28,5.63,,
360,7.57,7.8,7.05,7.41,6.72,7.12
361,6.52,5.65,5.21,5.33,,
362,7.0,7.0,4.96,5.11,5.46,5.69
363,6.32,6.7,5.84,7.11,6.75,6.2
364,7.73,7.0,6.43,7.04,,
365,7.47,8.4,8.86,8.85,8.11,8.44
366,5.48,6.15,5.74,,,
367,8.43,9.07,8.4,8.63,8.43,8.9
368,6.74,6.17,5.37,4.28,5.11,5.78
369,5.87,4.02,4.63,8.22,,
370,9.03,9.23,9.07,9.41,,
371,4.32,6.12,4.62,4.85,10.0,8.5
372,7.3,5.65,6.9,6.56,,
373,7.63,8.07,7.88,8.63,8.93,8.93
374,8.0,7.37,7.12,6.89,7.14,7.6
375,5.97,6.2,5.79,6.04,5.15,5.08
376,6.3,4.58,4.3,,9.67,10.0
377,6.33,6.43,5.35,5.89,2.44,
378,5.83,6.46,6.85,7.44,7.23,6.7
379,5.38,4.35,3.61,5.03,,
380,5.23,,,,,
381,6.23,5.93,5.88,7.41,7.0,6.74
382,5.77,6.0,5.2,6.13,6.0,6.23
383,7.2,7.8,8.23,8.74,8.25,8.89
384,5.23,4.75,,,,
385,8.77,9.0,8.93,8.3,8.39,9.5
386,5.62,5.53,5.04,6.11,5.33,7.27
387,8.63,7.89,7.61,7.0,7.23,8.2
388,8.17,8.43,8.1,7.67,7.89,8.23
389,7.43,7.83,7.26,7.07,6.86,8.17
390,5.87,6.6,6.4,6.67,7.25,8.0
391,9.53,9.73,9.43,8.96,8.21,9.13
392,5.2,5.05,4.18,5.48,,
393,4.05,4.42,,,,
394,7.13,7.5,4.56,5.67,,
395,7.8,8.2,8.07,7.59,7.25,7.63
396,8.1,8.37,7.57,7.26,7.39,8.17
397,8.83,8.43,8.43,8.48,8.21,8.67
398,7.0,5.5,4.9,7.7,,
399,4.43,,,,,
400,5.63,3.68,3.12,,,
401,6.42,6.67,5.38,5.69,,
402,5.13,6.5,5.64,7.11,3.5,
403,4.26,3.36,3.02,3.85,,
404,6.37,6.27,6.24,5.48,,
405,4.29,5.11,4.96,4.78,4.33,4.79
406,6.9,7.93,7.15,7.63,7.13,7.48
407,9.1,9.7,8.29,7.74,7.71,9.27
408,6.47,7.3,6.67,8.26,,
409,9.3,9.27,8.74,8.85,8.61,9.43
410,6.23,6.8,4.9,6.63,5.59,5.79
411,6.5,5.87,5.76,7.3,,
412,6.73,6.7,3.8,5.94,7.23,6.9
413,8.03,8.41,8.68,8.0,7.46,9.33
414,8.0,8.3,8.0,8.22,8.54,9.07
415,7.7,7.73,7.14,6.81,6.43,6.8
416,5.12,5.05,5.72,5.63,3.64,
417,9.13,9.07,8.56,8.48,8.04,8.39
418,4.09,4.56,3.56,3.15,,
419,3.12,1.02,1.06,,,
420,6.67,7.73,6.46,7.37,7.54,7.36
421,5.53,6.17,6.1,5.78,,
422,5.74,3.68,,,,
423,8.8,9.47,9.12,9.11,9.07,9.63
424,8.07,7.2,4.07,6.52,4.55,5.39
425,6.3,7.03,7.28,6.85,5.24,7.0
426,7.8,7.9,8.6,8.59,7.65,8.12
427,6.57,7.1,7.26,6.74,7.11,8.13
428,7.6,6.9,6.74,6.63,6.55,7.76
429,7.63,7.93,7.59,8.63,9.04,8.97
430,7.57,,,,,
431,7.13,7.23,7.14,6.59,5.76,5.68
432,6.39,6.37,7.02,7.7,6.93,8.03
433,5.9,7.23,5.76,6.41,,
434,7.57,7.7,8.0,8.3,7.96,9.03
435,6.73,7.7,6.74,6.44,5.25,6.1
436,8.17,8.6,9.02,8.67,8.68,9.37
437,6.17,6.67,5.84,5.89,6.29,8.03
438,6.33,4.03,,,,
439,4.94,3.6,3.62,,4.25,4.0
440,3.72,2.61,2.15,,,
441,3.72,3.65,3.96,,6.33,9.0
442,6.77,5.9,4.84,5.72,,
443,3.08,2.45,,,,
444,0.98,0.88,,,,
445,5.03,5.17,5.26,6.24,,
446,5.44,5.97,4.59,6.07,,
447,3.89,,,,,
448,4.15,3.39,,,,
449,3.1,2.94,,,,
450,5.71,4.82,3.91,6.59,,
451,4.8,3.85,2.58,,5.33,6.5
452,2.46,1.27,,,,
453,4.33,4.53,4.42,,6.0,7.0
454,3.13,3.96,5.12,,,
455,5.17,4.97,4.41,4.22,,
456,6.2,5.57,4.7,5.74,4.39,5.69
457,4.91,4.9,5.61,5.67,,
458,5.61,5.93,4.13,,,
459,2.69,1.62,,,,
460,6.32,5.0,1.83,,,
461,2.58,1.93,,,,
462,4.02,3.92,,,,
463,6.3,6.73,5.5,5.67,,
464,6.42,6.7,6.79,7.0,,
465,4.49,3.41,,,,
466,5.53,5.38,3.69,6.63,,
467,2.63,1.67,,,,
468,5.18,5.98,4.7,6.07,,
469,6.07,3.86,3.85,5.37,,
470,4.63,4.41,4.38,,,
471,2.82,2.04,,,,
472,5.26,4.14,3.64,,6.0,7.0
473,1.21,0.8,,,,
474,6.27,6.27,2.65,,,
475,3.81,3.2,,,,
476,2.66,2.1,,,2.5,
477,6.06,4.4,3.57,5.15,3.95,2.21
478,4.62,5.23,5.0,5.33,5.5,5.03
479,8.17,7.6,5.6,,,
480,6.47,5.47,6.65,6.85,6.25,7.17
481,2.65,2.01,,,,
482,5.32,6.24,5.4,7.0,6.79,6.23
483,7.93,8.33,8.29,8.44,7.25,7.92
484,9.6,9.53,9.67,9.22,9.07,9.67
485,6.97,6.16,5.0,5.48,,
486,6.93,5.13,,,,
487,5.81,5.28,4.5,5.37,,
488,2.43,,,,,
489,2.82,3.45,,,,
490,3.74,1.5,3.79,,,
491,5.0,4.77,5.49,7.73,2.44,
492,2.78,2.8,,,,
493,7.13,6.93,6.73,8.74,,
494,7.37,7.72,8.15,8.48,7.79,7.94
495,4.7,3.62,2.51,,6.33,5.0
496,5.4,3.28,3.1,,,
497,4.25,3.7,,,,
498,3.24,3.17,,,2.8,
499,5.87,5.23,5.36,4.85,,
500,6.95,4.34,4.39,,,
501,7.9,8.47,7.7,8.52,8.67,8.97
502,5.6,4.59,3.58,,,
503,3.74,3.65,,,,
504,9.1,6.85,5.45,5.77,8.0,
505,5.42,4.7,5.06,4.8,,
506,6.47,6.38,5.67,6.52,6.6,7.07
507,5.24,5.28,7.3,7.33,7.15,6.85
508,5.5,6.13,5.0,5.53,3.29,
509,3.92,2.16,2.62,,3.75,6.0
510,2.57,,,,,
511,6.2,5.66,5.64,6.04,,
512,4.59,4.3,5.15,,,
513,6.38,5.82,4.65,5.43,,
514,6.6,5.39,4.42,,,
515,5.78,5.05,3.05,,,
516,4.84,4.68,5.43,7.33,5.73,
517,5.01,3.9,,,5.67,
518,5.51,5.56,4.55,,6.0,6.5
519,6.07,5.05,4.82,5.52,5.34,
520,8.9,8.53,,,,
521,8.63,8.74,8.13,7.56,7.17,6.62
522,7.8,6.72,6.09,6.3,6.26,6.03
523,8.37,5.31,6.36,6.33,5.91,6.16
524,6.77,8.32,8.15,8.04,7.18,6.79
525,6.07,5.35,6.45,6.22,5.37,6.89
526,8.87,8.53,8.74,8.48,8.32,8.48
527,7.63,7.33,6.79,7.37,,
528,7.8,7.84,7.76,7.48,6.79,7.37
529,6.21,6.51,6.15,5.93,7.53,7.63
530,6.58,6.03,5.56,5.56,,
531,8.03,7.39,6.36,6.85,7.29,7.1
532,7.87,6.85,6.45,5.96,5.96,5.08
533,6.43,4.96,5.67,6.07,6.51,6.06
534,7.0,4.94,4.98,2.47,,
535,6.72,6.39,6.3,6.21,,
536,6.07,4.81,5.92,5.22,5.18,6.12
537,4.91,4.44,,,,
538,8.93,8.13,7.67,7.67,5.84,5.97
539,7.33,7.69,8.21,7.41,8.03,7.22
540,8.43,7.58,7.24,8.07,8.4,8.9
541,8.1,9.18,8.76,8.89,8.43,7.94
542,6.4,5.86,6.3,7.22,7.09,6.48
543,5.84,5.68,6.39,4.89,5.0,5.78
544,4.82,5.4,5.51,4.98,4.49,
545,6.47,5.9,5.85,6.04,5.59,5.31
546,8.2,8.11,8.76,8.15,8.8,8.8
547,5.9,5.38,5.39,5.89,6.17,6.83
548,9.27,8.79,8.85,8.41,7.77,7.03
549,9.77,9.8,9.85,9.74,9.3,8.42
550,8.27,7.15,6.58,7.63,8.0,8.87
551,7.83,7.45,7.85,8.37,8.73,8.63
552,8.1,6.23,6.39,6.93,,
553,6.8,6.79,5.61,6.19,6.49,6.26
554,5.98,4.64,5.03,5.43,,
555,6.62,5.29,4.28,4.04,,
556,4.94,5.97,5.61,5.26,3.34,
557,8.63,8.92,8.61,8.07,7.48,7.3
558,5.36,5.43,4.98,5.54,5.54,
559,6.13,4.98,4.81,6.26,6.42,7.0
560,8.27,7.34,8.42,9.0,9.33,9.37
561,7.17,5.79,5.61,5.81,6.43,7.13
562,5.63,5.3,5.91,5.52,5.53,5.67
563,6.94,5.55,5.45,5.41,3.23,
564,8.03,6.31,5.56,7.04,6.41,7.13
565,9.13,8.97,9.03,9.33,9.0,8.7
566,8.9,8.69,8.45,8.52,9.11,9.33
567,7.37,6.92,6.21,5.48,6.58,7.1
568,7.63,7.68,7.39,8.11,8.03,8.0
569,9.9,9.94,10.0,9.85,9.85,9.27
570,7.0,7.22,6.82,7.0,7.73,7.06
571,8.87,8.92,8.27,8.59,9.07,9.4
572,8.5,8.57,8.15,8.59,8.8,9.1
573,6.73,5.95,7.64,8.48,7.93,8.6
574,6.48,5.73,5.91,7.57,7.1,
575,7.23,7.69,7.21,7.7,7.9,7.77
576,7.3,6.68,6.67,7.26,7.6,7.0
577,9.47,8.78,8.97,8.67,8.97,9.1
578,8.17,7.47,6.48,7.78,7.5,7.8
579,5.57,6.02,3.99,6.13,5.51,
580,6.6,6.02,5.69,6.81,5.74,6.45
581,8.17,8.0,7.67,8.15,8.36,8.09
582,6.03,5.13,4.31,4.81,3.35,
583,8.57,8.78,9.21,9.04,9.24,9.0
584,4.82,4.23,4.74,5.0,,
585,5.41,4.21,,,6.0,6.0
586,7.52,5.33,4.97,5.33,,
587,3.08,3.4,,,6.33,7.5
588,7.47,6.12,4.38,5.89,7.33,6.8
589,7.6,6.09,6.19,6.04,5.15,5.81
590,8.77,9.0,8.97,9.04,9.52,9.27
591,6.97,6.28,5.97,6.89,,7.57
592,6.23,5.18,4.42,5.11,5.97,6.33
593,6.3,6.12,5.04,6.07,7.07,
594,5.15,3.03,,,5.86,6.5
595,4.91,4.7,5.41,7.77,6.4,
596,8.35,6.04,6.2,4.21,,
597,6.61,5.95,6.0,5.7,,
598,6.58,5.75,5.35,5.07,,
599,7.22,5.39,4.73,5.73,,
600,9.67,8.5,8.31,8.48,8.52,8.17
601,5.67,4.5,4.59,6.22,5.33,5.89
602,5.06,4.78,4.64,5.11,5.44,4.93
603,4.5,3.39,,,,
604,9.33,8.59,8.33,7.89,8.4,9.07
605,7.97,7.24,7.33,7.37,,
606,9.17,8.39,9.03,8.59,9.37,9.1
607,5.88,5.09,5.35,6.47,,
608,8.57,8.53,8.03,8.59,9.23,9.33
609,7.83,6.34,6.33,5.81,,
610,8.77,6.78,7.12,6.67,6.23,6.17
611,7.1,6.11,5.67,6.0,5.7,6.27
612,7.9,6.5,5.64,5.56,,
613,8.0,6.47,6.33,6.19,5.5,6.06
614,6.3,6.11,6.36,7.0,6.6,7.03
615,6.21,5.62,5.31,7.11,,
616,1.4,,,,,
617,6.98,6.43,5.8,5.02,,
618,8.83,8.92,9.0,9.15,9.0,9.15
619,6.35,4.25,3.95,4.73,,
620,6.27,6.11,6.15,6.04,6.1,5.65
621,4.73,3.45,2.9,,9.67,7.0
622,5.81,,,,,
623,5.09,4.7,4.76,,,
624,7.63,6.9,5.97,6.22,,
625,1.35,,,,,
626,6.7,5.34,4.61,,,
627,4.32,2.33,,,7.0,
628,6.12,4.92,4.67,5.67,,
629,7.8,7.72,8.36,8.96,9.27,9.27
630,6.62,5.25,5.28,6.77,6.39,
631,4.83,5.07,6.19,6.6,,
632,6.25,5.59,6.11,8.13,,
633,6.13,6.28,5.88,6.07,,
634,6.5,6.41,6.36,6.67,,
635,7.67,8.56,7.91,7.7,7.55,7.85
636,5.45,5.79,5.19,4.74,5.41,5.92
637,5.86,3.75,3.01,4.17,,
